Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
626,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1000,1500,1300,07-Aug-23
627,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1000,1500,1300,08-Aug-23
628,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1000,1500,1300,11-Aug-23
629,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1000,1500,1300,27-Dec-23
630,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1000,1600,1500,17-Aug-23
631,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1000,1600,1500,23-Aug-23
632,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1000,1800,1500,20-Feb-24
633,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1500,2000,1800,13-Jun-24
634,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,2000,3000,2500,03-Nov-23
635,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,2500,3500,3000,17-Nov-23
636,Bangalore,Bangalore,Onion,Local,FAQ,700,1000,900,30-Mar-23
637,Bangalore,Bangalore,Onion,Local,FAQ,800,1000,900,06-Jun-22
638,Bangalore,Bangalore,Onion,Local,FAQ,800,1000,900,12-Sep-22
639,Bangalore,Bangalore,Onion,Local,FAQ,800,1000,900,13-Jun-23
640,Bangalore,Bangalore,Onion,Local,FAQ,800,1200,1000,07-Sep-22
641,Bangalore,Bangalore,Onion,Local,FAQ,800,1200,1000,29-Aug-22
642,Bangalore,Bangalore,Onion,Local,FAQ,800,1200,1100,01-Oct-22
643,Bangalore,Bangalore,Onion,Local,FAQ,800,1400,1100,25-Mar-24
644,Bangalore,Bangalore,Onion,Local,FAQ,1000,1200,1100,13-Jul-23
645,Bangalore,Bangalore,Onion,Local,FAQ,1000,1300,1100,16-Jun-23
646,Bangalore,Bangalore,Onion,Local,FAQ,1000,1500,1300,07-Mar-24
647,Bangalore,Bangalore,Onion,Local,FAQ,1000,1500,1300,15-Dec-22
648,Bangalore,Bangalore,Onion,Local,FAQ,1000,1500,1300,16-Jul-22
649,Bangalore,Bangalore,Onion,Local,FAQ,1000,1500,1400,27-Oct-22
650,Bangalore,Bangalore,Onion,Local,FAQ,1000,1600,1300,01-Mar-24
651,Bangalore,Bangalore,Onion,Local,FAQ,1000,1700,1300,15-Mar-24
652,Bangalore,Bangalore,Onion,Local,FAQ,1000,1700,1300,18-Mar-24
653,Bangalore,Bangalore,Onion,Local,FAQ,1200,1700,1400,30-Apr-24
654,Bangalore,Bangalore,Onion,Local,FAQ,1200,1800,1500,10-Jan-22
655,Bangalore,Bangalore,Onion,Local,FAQ,1200,2000,1700,10-Nov-22
656,Bangalore,Bangalore,Onion,Local,FAQ,1300,1500,1400,03-Jul-23
657,Bangalore,Bangalore,Onion,Local,FAQ,1500,1700,1600,09-Aug-23
658,Bangalore,Bangalore,Onion,Local,FAQ,1500,1800,1600,26-Dec-22
659,Bangalore,Bangalore,Onion,Local,FAQ,1500,2000,1800,06-Jun-24
660,Bangalore,Bangalore,Onion,Local,FAQ,1500,2000,1800,14-Dec-23
661,Bangalore,Bangalore,Onion,Local,FAQ,1500,2000,1800,29-May-24
662,Bangalore,Bangalore,Onion,Local,FAQ,1500,2000,1800,31-May-24
663,Bangalore,Bangalore,Onion,Local,FAQ,1800,2000,1900,22-Dec-23
664,Bangalore,Bangalore,Onion,Local,FAQ,1800,2400,2100,14-Feb-22
665,Bangalore,Bangalore,Onion,Local,FAQ,1800,2400,2200,18-Oct-23
666,Bangalore,Bangalore,Onion,Local,FAQ,2000,2400,2200,06-Oct-23
667,Bangalore,Bangalore,Onion,Local,FAQ,3000,3800,3600,29-Nov-23
668,Bangalore,Bangalore,Onion,Onion,FAQ,800,1000,900,19-May-23
669,Bangalore,Bangalore,Onion,Onion,FAQ,800,1100,900,02-May-23
670,Bangalore,Bangalore,Onion,Onion,FAQ,800,1300,1200,05-Apr-23
671,Bangalore,Bangalore,Onion,Onion,FAQ,1000,1300,1200,11-Aug-22
672,Bangalore,Bangalore,Onion,Onion,FAQ,1000,1300,1200,20-Aug-22
673,Bangalore,Bangalore,Onion,Onion,FAQ,1000,1500,1300,11-Apr-23
674,Bangalore,Bangalore,Onion,Onion,FAQ,1100,1300,1200,28-Apr-22
675,Bangalore,Bangalore,Onion,Onion,FAQ,1200,1400,1300,05-Apr-22
676,Bangalore,Bangalore,Onion,Onion,FAQ,1200,1500,1400,13-Sep-22
677,Bangalore,Bangalore,Onion,Onion,FAQ,1200,1500,1400,14-Sep-22
678,Bangalore,Bangalore,Onion,Onion,FAQ,1200,1800,1700,03-Oct-22
679,Bangalore,Bangalore,Onion,Onion,FAQ,1300,1500,1400,14-Jun-23
680,Bangalore,Bangalore,Onion,Onion,FAQ,1300,1600,1500,23-Jan-23
681,Bangalore,Bangalore,Onion,Onion,FAQ,1400,1800,1600,04-Aug-23
682,Bangalore,Bangalore,Onion,Onion,FAQ,1400,1800,1600,15-Jun-22
683,Bangalore,Bangalore,Onion,Onion,FAQ,1500,2200,1800,07-Mar-24
684,Bangalore,Bangalore,Onion,Onion,FAQ,1600,1800,1600,27-Oct-22
685,Bangalore,Bangalore,Onion,Onion,FAQ,1600,1800,1600,28-Oct-22
686,Bangalore,Bangalore,Onion,Onion,FAQ,1800,2200,1900,20-May-24
687,Bangalore,Bangalore,Onion,Onion,FAQ,2000,2500,2300,14-Nov-22
688,Bangalore,Bangalore,Onion,Onion,FAQ,2000,2600,2200,29-Nov-22
689,Bangalore,Bangalore,Onion,Onion,FAQ,2000,2700,2400,02-Dec-22
690,Bangalore,Bangalore,Onion,Onion,FAQ,2000,2700,2500,08-Sep-23
691,Bangalore,Bangalore,Onion,Onion,FAQ,2000,2700,2500,13-Sep-23
692,Bangalore,Bangalore,Onion,Onion,FAQ,2000,2800,2400,29-Feb-24
693,Bangalore,Bangalore,Onion,Onion,FAQ,2400,2700,2500,05-Oct-23
694,Bangalore,Bangalore,Onion,Onion,FAQ,2400,2700,2500,06-Oct-23
695,Bangalore,Bangalore,Onion,Onion,FAQ,4400,5000,4500,09-Nov-23
696,Bangalore,Bangalore,Onion,Puna,FAQ,700,1100,900,15-May-23
697,Bangalore,Bangalore,Onion,Puna,FAQ,700,1100,900,18-May-23
698,Bangalore,Bangalore,Onion,Puna,FAQ,700,1100,900,22-May-23
699,Bangalore,Bangalore,Onion,Puna,FAQ,800,1200,1000,18-May-22
700,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1500,1300,01-Feb-23
701,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1600,1300,28-Mar-22
702,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1600,1500,07-Apr-22
703,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1700,1300,17-Aug-22
704,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1800,1400,02-Sep-22
705,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1800,1400,07-Mar-22
706,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1800,1500,19-Jun-23
707,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2000,1600,05-Mar-24
708,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2000,1700,14-Feb-24
709,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2000,1800,17-Jun-22
710,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2000,1800,24-Jun-22
711,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,100,200,150,17-Sep-22
712,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,200,500,400,22-Feb-23
713,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,200,800,600,28-Oct-22
714,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,300,700,600,12-Apr-23
715,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,600,500,09-May-22
716,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,600,500,21-May-22
717,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,600,500,23-Aug-22
718,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,800,600,07-Sep-22
719,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,800,600,13-Jun-22
720,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,800,700,01-Apr-22
721,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,700,600,12-Jan-23
722,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,800,700,04-Jan-23
723,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,700,17-Mar-23
724,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,800,02-Feb-23
725,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,800,14-Jun-23
726,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,800,15-Jun-23
727,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,800,16-Jun-23
728,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,800,22-May-24
729,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1200,700,25-Apr-24
730,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1200,1000,10-Nov-22
731,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1200,1000,14-Nov-22
732,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,600,1000,900,07-Feb-23
733,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,800,1000,800,20-May-24
734,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,800,1000,900,02-Aug-23
735,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,800,1200,1000,07-May-24
736,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,800,1500,1200,06-Jun-24
737,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1000,1500,1300,15-Sep-23
738,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1000,1800,1600,17-Oct-23
739,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1000,2000,1500,11-Jun-24
740,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,2000,3500,3000,06-Nov-23
741,Bangalore,Bangalore,Onion,Local,FAQ,400,700,500,26-May-23
742,Bangalore,Bangalore,Onion,Local,FAQ,600,800,700,05-May-23
743,Bangalore,Bangalore,Onion,Local,FAQ,600,800,700,09-May-23
744,Bangalore,Bangalore,Onion,Local,FAQ,600,1000,800,17-Feb-23
745,Bangalore,Bangalore,Onion,Local,FAQ,600,1000,800,31-Mar-22
746,Bangalore,Bangalore,Onion,Local,FAQ,700,1000,900,10-Apr-23
747,Bangalore,Bangalore,Onion,Local,FAQ,700,1000,900,13-Apr-23
748,Bangalore,Bangalore,Onion,Local,FAQ,700,1000,900,21-Apr-23
749,Bangalore,Bangalore,Onion,Local,FAQ,800,1000,900,08-Aug-22
750,Bangalore,Bangalore,Onion,Local,FAQ,800,1000,900,24-May-22
751,Bangalore,Bangalore,Onion,Local,FAQ,800,1200,1000,30-Aug-22
752,Bangalore,Bangalore,Onion,Local,FAQ,800,1200,1100,03-Oct-22
753,Bangalore,Bangalore,Onion,Local,FAQ,900,1300,1100,25-Jan-24
754,Bangalore,Bangalore,Onion,Local,FAQ,1000,1200,1000,10-Feb-23
755,Bangalore,Bangalore,Onion,Local,FAQ,1000,1200,1100,27-Jul-23
756,Bangalore,Bangalore,Onion,Local,FAQ,1000,1200,1100,28-Jul-23
757,Bangalore,Bangalore,Onion,Local,FAQ,1000,1400,1200,03-Aug-23
758,Bangalore,Bangalore,Onion,Local,FAQ,1000,1400,1200,14-Jun-22
759,Bangalore,Bangalore,Onion,Local,FAQ,1000,1400,1200,20-Mar-24
760,Bangalore,Bangalore,Onion,Local,FAQ,1000,1500,1300,04-Jul-22
761,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2100,1700,19-Apr-24
762,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2200,1800,01-Mar-24
763,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2200,2000,29-Dec-22
764,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2300,2000,27-Dec-22
765,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2400,1700,13-Jan-22
766,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2600,2200,22-Nov-22
767,Bangalore,Bangalore,Onion,Puna,FAQ,1500,2200,1800,27-Jun-22
768,Bangalore,Bangalore,Onion,Puna,FAQ,1500,2200,1800,28-Jun-22
769,Bangalore,Bangalore,Onion,Puna,FAQ,1500,2400,2000,09-Aug-23
770,Bangalore,Bangalore,Onion,Puna,FAQ,1500,2700,2100,02-Mar-22
771,Bangalore,Bangalore,Onion,Puna,FAQ,1500,2800,2150,10-Jan-22
772,Bangalore,Bangalore,Onion,Puna,FAQ,1500,3000,2200,04-Jun-24
773,Bangalore,Bangalore,Onion,Puna,FAQ,1800,2600,2200,12-Jan-23
774,Bangalore,Bangalore,Onion,Puna,FAQ,2000,2500,2200,14-May-24
775,Bangalore,Bangalore,Onion,Puna,FAQ,2000,2800,2400,14-Jan-22
776,Bangalore,Bangalore,Onion,Puna,FAQ,2000,3000,2500,22-Feb-22
777,Bangalore,Bangalore,Onion,Puna,FAQ,2000,3000,2600,07-Oct-23
778,Bangalore,Bangalore,Onion,Puna,FAQ,2000,3200,2600,20-Dec-23
779,Bangalore,Bangalore,Onion,Puna,FAQ,3000,3800,3500,03-Nov-22
780,Bangalore,Bangalore,Onion,Puna,FAQ,3000,3800,3500,05-Nov-22
781,Bangalore,Bangalore,Onion,Local,FAQ,1000,1500,1300,14-Jul-22
782,Bangalore,Bangalore,Onion,Local,FAQ,1000,1500,1300,15-Mar-23
783,Bangalore,Bangalore,Onion,Local,FAQ,1000,1500,1300,22-May-24
784,Bangalore,Bangalore,Onion,Local,FAQ,1000,1500,1400,11-Oct-22
785,Bangalore,Bangalore,Onion,Local,FAQ,1400,1600,1500,18-Jul-23
786,Bangalore,Bangalore,Onion,Local,FAQ,1400,2400,1900,25-Feb-22
787,Bangalore,Bangalore,Onion,Local,FAQ,1600,2000,1800,22-Aug-23
788,Bangalore,Bangalore,Onion,Local,FAQ,1800,2000,1900,21-Dec-23
789,Bangalore,Bangalore,Onion,Local,FAQ,3000,4000,3600,08-Dec-23
790,Bangalore,Bangalore,Onion,Onion,FAQ,800,1300,1200,01-Apr-23
791,Bangalore,Bangalore,Onion,Onion,FAQ,1000,1200,1100,07-Mar-23
792,Bangalore,Bangalore,Onion,Onion,FAQ,1000,1300,1200,26-Aug-22
793,Bangalore,Bangalore,Onion,Onion,FAQ,1000,1300,1200,26-Jul-22
794,Bangalore,Bangalore,Onion,Onion,FAQ,1000,1400,1300,08-Jun-22
795,Bangalore,Bangalore,Onion,Onion,FAQ,1000,1500,1300,10-Apr-23
796,Bangalore,Bangalore,Onion,Onion,FAQ,1000,1500,1300,13-Apr-23
797,Bangalore,Bangalore,Onion,Onion,FAQ,1000,1500,1300,20-Apr-23
798,Bangalore,Bangalore,Onion,Onion,FAQ,1000,1500,1300,21-Apr-23
799,Bangalore,Bangalore,Onion,Onion,FAQ,1200,1400,1200,09-Feb-23
800,Bangalore,Bangalore,Onion,Onion,FAQ,1200,1400,1300,13-May-22
801,Bangalore,Bangalore,Onion,Onion,FAQ,1200,1400,1300,30-Aug-22
802,Bangalore,Bangalore,Onion,Onion,FAQ,1200,1500,1300,28-Jun-23
803,Bangalore,Bangalore,Onion,Onion,FAQ,1200,1600,1400,01-Jun-23
804,Bangalore,Bangalore,Onion,Onion,FAQ,1200,1600,1400,24-Mar-22
805,Bangalore,Bangalore,Onion,Onion,FAQ,1400,1800,1500,17-Mar-23
806,Bangalore,Bangalore,Onion,Onion,FAQ,1400,1800,1600,05-Aug-23
807,Bangalore,Bangalore,Onion,Onion,FAQ,1400,2000,1700,22-Mar-24
808,Bangalore,Bangalore,Onion,Onion,FAQ,1500,2000,1750,03-Dec-22
809,Bangalore,Bangalore,Onion,Onion,FAQ,1500,2200,1800,12-Mar-24
810,Bangalore,Bangalore,Onion,Onion,FAQ,1600,1800,1700,20-Jul-23
811,Bangalore,Bangalore,Onion,Onion,FAQ,1600,2000,1800,23-May-24
812,Bangalore,Bangalore,Onion,Onion,FAQ,1600,2000,1800,28-May-24
813,Bangalore,Bangalore,Onion,Onion,FAQ,1600,2200,1900,06-Dec-22
814,Bangalore,Bangalore,Onion,Onion,FAQ,1700,2100,1800,24-Apr-24
815,Bangalore,Bangalore,Onion,Onion,FAQ,1700,2200,2000,30-Mar-24
816,Bangalore,Bangalore,Onion,Onion,FAQ,2000,2600,2200,07-Jun-24
817,Bangalore,Bangalore,Onion,Onion,FAQ,2000,2600,2400,19-Aug-23
818,Bangalore,Bangalore,Onion,Onion,FAQ,3000,4000,3200,12-Dec-23
819,Bangalore,Bangalore,Onion,Onion,FAQ,4500,5200,5000,30-Oct-23
820,Bangalore,Bangalore,Onion,Puna,FAQ,400,1400,1200,26-May-23
821,Bangalore,Bangalore,Onion,Puna,FAQ,800,1200,1100,11-Apr-22
822,Bangalore,Bangalore,Onion,Puna,FAQ,800,1300,1200,29-Mar-23
823,Bangalore,Bangalore,Onion,Puna,FAQ,900,1300,1100,09-May-23
824,Bangalore,Bangalore,Onion,Puna,FAQ,900,1300,1100,19-May-22
825,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1300,1200,27-May-22
826,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1300,1200,30-May-22
827,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1400,1300,08-Feb-23
828,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1500,1300,15-Mar-23
829,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1500,1300,17-Feb-23
830,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1500,1300,27-Apr-22
831,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1600,1400,11-Aug-22
832,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1600,1400,21-Jul-22
833,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1800,1400,18-Mar-22
834,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1800,1400,23-Aug-22
835,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1800,1400,24-Aug-22
836,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1800,1500,22-Mar-22
837,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1800,1600,12-Jun-23
838,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1800,1700,07-Dec-22
839,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1800,1700,07-Feb-24
840,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2200,1600,12-Sep-22
841,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2200,1800,04-Mar-24
842,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2300,1800,21-Dec-22
843,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2600,2200,21-Nov-22
844,Bangalore,Bangalore,Onion,Puna,FAQ,1200,1400,1300,04-May-22
845,Bangalore,Bangalore,Onion,Puna,FAQ,1500,2200,2000,02-Jan-23
846,Bangalore,Bangalore,Onion,Puna,FAQ,1500,3000,2400,10-Nov-22
847,Bangalore,Bangalore,Onion,Puna,FAQ,1700,2100,1900,20-Jan-23
848,Bangalore,Bangalore,Onion,Puna,FAQ,2000,2800,2500,19-Sep-23
849,Bangalore,Bangalore,Onion,Puna,FAQ,2000,2800,2500,21-Dec-23
850,Bangalore,Bangalore,Onion,Puna,FAQ,2000,2800,2500,22-Aug-23
851,Bangalore,Bangalore,Onion,Puna,FAQ,2000,3200,2800,14-Jun-24
852,Bangalore,Bangalore,Onion,Puna,FAQ,3500,5000,4400,01-Dec-23
853,Bangalore,Bangalore,Onion,Puna,FAQ,4000,5200,4400,08-Dec-23
854,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,200,400,300,26-May-23
855,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,300,500,400,06-May-23
856,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,300,500,400,11-May-23
857,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,300,500,400,18-May-23
858,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,300,500,400,23-May-23
859,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,300,500,400,28-Apr-23
860,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,300,600,450,11-Apr-22
861,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,300,600,500,26-May-22
862,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,600,500,20-Aug-22
863,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,800,500,31-May-22
864,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,800,600,01-Jun-23
865,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,800,600,03-Jun-23
866,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,800,600,07-Jun-23
867,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,800,600,17-Jun-22
868,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,800,600,30-Aug-22
869,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,800,700,03-Oct-22
870,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,800,700,07-Apr-22
871,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,800,700,24-Jan-24
872,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,800,750,08-Apr-22
873,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,1000,700,05-Apr-24
874,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,700,600,11-Jan-23
875,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,800,700,06-Jan-23
876,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,700,16-Mar-23
877,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,700,28-May-24
878,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,700,31-Dec-22
879,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,800,03-Feb-23
880,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,800,11-Jul-22
881,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,800,18-Jul-22
882,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,800,20-Jul-22
883,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1200,1000,15-Nov-22
884,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1500,1200,03-Nov-22
885,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1500,1200,05-Nov-22
886,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,600,1000,900,08-Feb-23
887,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,700,1000,800,14-Feb-23
888,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,800,1200,1000,03-Aug-23
889,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1000,1500,1300,01-Sep-23
890,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1000,1500,1300,10-Aug-23
891,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1000,1500,1300,11-Sep-23
892,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1000,1500,1300,30-Dec-23
893,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1000,1500,1300,31-Aug-23
894,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1000,1600,1500,18-Aug-23
895,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1000,1800,1600,18-Oct-23
896,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1500,2000,1800,04-Oct-23
897,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1500,2000,1800,14-Jun-24
898,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,2000,3000,2500,01-Dec-23
899,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,2000,3000,2500,28-Nov-23
900,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,3000,4000,3500,27-Oct-23
901,Bangalore,Bangalore,Onion,Local,FAQ,500,800,700,05-Apr-23
902,Bangalore,Bangalore,Onion,Local,FAQ,500,800,700,19-May-23
903,Bangalore,Bangalore,Onion,Local,FAQ,600,800,700,06-May-23
904,Bangalore,Bangalore,Onion,Local,FAQ,600,1000,800,16-Aug-22
905,Bangalore,Bangalore,Onion,Local,FAQ,600,1000,800,17-Aug-22
906,Bangalore,Bangalore,Onion,Local,FAQ,700,900,800,20-May-22
907,Bangalore,Bangalore,Onion,Local,FAQ,800,1000,900,07-Jun-23
908,Bangalore,Bangalore,Onion,Local,FAQ,800,1000,900,09-Jun-22
909,Bangalore,Bangalore,Onion,Local,FAQ,800,1000,900,10-Aug-22
910,Bangalore,Bangalore,Onion,Local,FAQ,800,1000,900,25-Jul-22
911,Bangalore,Bangalore,Onion,Local,FAQ,800,1000,900,26-Jul-22
912,Bangalore,Bangalore,Onion,Local,FAQ,800,1000,900,27-Apr-23
913,Bangalore,Bangalore,Onion,Local,FAQ,1000,1100,1000,27-Jan-23
914,Bangalore,Bangalore,Onion,Local,FAQ,1000,1200,1000,07-Jan-23
915,Bangalore,Bangalore,Onion,Local,FAQ,1000,1200,1100,24-Jan-23
916,Bangalore,Bangalore,Onion,Local,FAQ,1000,1300,1100,14-Jun-23
917,Bangalore,Bangalore,Onion,Local,FAQ,1000,1300,1100,20-Jun-23
918,Bangalore,Bangalore,Onion,Local,FAQ,1000,1300,1200,20-Jun-22
919,Bangalore,Bangalore,Onion,Local,FAQ,1000,1500,1250,07-Mar-22
920,Bangalore,Bangalore,Onion,Local,FAQ,1000,1500,1300,07-Jul-22
921,Bangalore,Bangalore,Onion,Local,FAQ,1000,1500,1300,12-Dec-22
922,Bangalore,Bangalore,Onion,Local,FAQ,1000,1500,1300,29-Jul-22
923,Bangalore,Bangalore,Onion,Local,FAQ,1000,1500,1400,20-Oct-22
924,Bangalore,Bangalore,Onion,Local,FAQ,1000,1500,1400,29-Oct-22
925,Bangalore,Bangalore,Onion,Local,FAQ,1000,1600,1300,02-Mar-24
926,Bangalore,Bangalore,Onion,Local,FAQ,1000,1600,1400,24-May-24
927,Bangalore,Bangalore,Onion,Local,FAQ,1000,1800,1500,15-May-24
928,Bangalore,Bangalore,Onion,Local,FAQ,1200,1700,1400,23-Apr-24
929,Bangalore,Bangalore,Onion,Local,FAQ,1200,1800,1500,29-Jan-22
930,Bangalore,Bangalore,Onion,Local,FAQ,1500,2000,1700,29-Nov-22
931,Bangalore,Bangalore,Onion,Local,FAQ,1500,2000,1750,09-Feb-22
932,Bangalore,Bangalore,Onion,Local,FAQ,1500,2000,1800,06-May-24
933,Bangalore,Bangalore,Onion,Local,FAQ,1500,2000,1800,12-Sep-23
934,Bangalore,Bangalore,Onion,Local,FAQ,1500,2500,2000,07-Jan-22
935,Bangalore,Bangalore,Onion,Local,FAQ,1500,2500,2200,03-Nov-22
936,Bangalore,Bangalore,Onion,Local,FAQ,1500,2500,2200,04-Nov-22
937,Bangalore,Bangalore,Onion,Local,FAQ,1500,2500,2200,05-Nov-22
938,Bangalore,Bangalore,Onion,Local,FAQ,1600,2000,1800,19-Aug-23
939,Bangalore,Bangalore,Onion,Local,FAQ,1600,2000,1800,21-Sep-23
